book_name,authors,prices
golden son book ii of the red rising trilogy,Pierce Brown,2370.25
golden stories of abu bakr assiddeeq by abdul malik mujahid,Abdul Malik Mujahid,1330.0
gone girl,Gillian Flynn,1100.75
gone tomorrow,Lee Child,945.25
good as dead tom thorne novels,Mark Billingham,755.25
good citizens need not fear,Maria Reva,1885.5
good news bad news,David Wolstencroft,413.25
good night stories for rebel girls 2,Elena Favilli,2545.75
good omens,Terry Pratchett,1325.25
good to great and the social sectors: a monograph to accompany good to great,,212.5
good wives,Louisa May Alcott,895.5
goodbye freddie mercury,Nadia Akbar,840.0
goodbye stranger,Rebecca Stead,1135.25
"goodbye, vitamin",,977.5
goodnight beautiful: everybody has secrets will this one break somebodys heart?,Dorothy Koomson,807.5
gorky park,Martin Cruz Smith,280.25
gossip,Beth Gutcheon,1567.5
gossip girl 5 i like it like epz ed,Cecily Von Ziegesar,522.5
gossip girl 9 only in your epz ed,Von Ziegesar Cecily,522.5
goulds book of fish,Richard Flanagan,1135.25
grand union,Zadie Smith,1895.25
grandpa’s great escape,David Walliams,850.25
granta 123 best of young british novelists 4 granta the magazine of new writing,John Freeman,1852.5
granta 129 fatemagazine of writing,Sigrid Rausing,2327.5
granta 139: best of young american novelists,Sigrid Rausing,1610.25
graveyard true hauntings from an old new england cemetery,ed warren,1325.25
gravity is the thing,Jaclyn Moriarty,1615.5
gray mountain,John Grisham,850.25
gray mountn a novel,GRISHAM JOHN,755.25
gray wolves and white doves,JOHN D BALIAN,617.5
great escape and crime stories2 in 1,Pradip Ghosh,565.25
great house,Nicole Krauss,850.25
great tales and poems of edgar allan poe,Edgar Allan Poe,332.5
"gripper, grabber and the sports stadium (bob the builder)",Various,375.25
growing a business: strategies for leaders and entrepreneurs,Rupert Merson,755.25
guilt: an alex delaware novel,Jonathan Kellerman,807.5
guilty wives,James Patterson,1420.25
gulab,Annie Zaidi,712.5
gullivers travels and other writings,Jonathan Swift,470.25
gullivers travelspenguin english library,Jonathan Swift,565.25
gun games a decker lazarus peter deckerrina lazarus,Faye Kellerman,660.25
gun machine,Warren Ellis,1420.25
gunslinger (dark tower) - ( pb ),Stephen King,1325.25
ha long lence,Shashi Deshpande,470.25
hag-seed: the tempest retold (hogarth shakespeare) -,Margaret Atwood,1610.25
half broke horses: a true-life,Jeannette Walls,1515.25
half gods,kil Kumarasamy,895.5
half moon hill,Toni Blake,470.25
hamlet (shakespeare stories),Andrew Matthews,335.75
hamza the greatest warrior of all time,Mahboob Mohammad,565.25
hand in glove,Robert Goddard,460.75
handle with care,Jodi Picoult,660.25
hangman a decker lazarus,Faye Kellerman,522.5
hangwoman everyone loves a good hanging,K. R. Meera,1325.25
hannibal rising,Thomas Harris,590.75
hannibal: enemy of rome hannibal 1,Ben Kane,660.25
happily ever after,Kiera Cass,850.25
happy ever after,Chris MacDonald,1895.25
happy ever after: a radical new approach to living well,Paul Dolan,1325.25
happy people read and drink coffee,Agnes Martin Lugand,1377.5
harbour,John Ajvide Lindqvist,755.25
harbour street,Ann Cleeves,1165.5
hard nuts of history ancient egypt,Tracey Turner,280.25
hard nuts of history ancient rome,Tracey Turner,280.25
hard nuts of history play the game (hard nut of history),Tracey Turner,280.25
hard nuts of history ultimate quiz and game book,,250.75
hard nuts of history warriors,Tracey Turner,280.25
hard times,Charles Dickens,332.5
harmless like you,,845.75
"harper the honourable company [paperback] [jan 01, 2011] john keay",John Keay,1015.75
harrow lake paperback,Kat Ellis,1135.25
harry potter - creatures: a paper scene book,Warner Bros,1990.25
harry potter and the cursed child: the journey: behind the scenes of the award-winning stage production,Jody Revenson,4495.5
harry potter and the prisoner of azkaban,J.K. Rowling,2655.25
harry potter hogwarts pocket journal (harry potter journals) ,Insight Editions,1705.25
harry potter ravenclaw,Insight Editions,1610.25
harry potter slytherin,Insight Editions,2370.25
harry potter: a sticker collection paperback,Insight Editions,1705.25
harry potter: gryffindor ruled pocket journal,Insight Editions,1705.25
harry potter: hufflepuff ruled pocket journal (insights journals),Insight Editions,1705.25
harvest,Jim Crace,1705.25
haunting paris,Mamta Chaudhry,1895.25
hausfrau,Jill Alexander Essbaum,1420.25
hawk quest,Robert LyndoN,660.25
hazy summer nights,Nora Roberts,850.25
hbrs 10 must reads 2016: the definitive management ideas of the year from harvard business review - pb,Alan Lewis,1515.25
he started it,Samantha Downing,1757.5
he war of he worlds modern library clas,H.g. Wells,565.25
head and tales : aandhi and hu tu tu,Gulzar,1040.25
heading out to wonderful,Robert Goolrick,850.25
headley and i,S. Hussain Zaidi,660.25
heads you win,Jeffrey Archer,945.25
heart and seoul,Jen Frederick,1895.25
heart and soul,Maeve Binchy,660.25
heart of the hunter,Deon Meyer,755.25
heart of the matter,Emily Giffin,902.5
heartless,Marissa Meyer,755.25
heat wave (nikki heat),,945.25
heaven hell and mademoiselle,Harold Chee,660.25
heaven scent,Sasha Wagstaff,565.25
heavens shadow,David S. Evans,755.25
heir of fire,Sarah J. Maas,997.5
hell to pay,Wendy Corsi Staub,565.25
hell's angels,Hunter S Thompson,985.5
hellfire danny black thriller 3,Chris Ryan,1990.25
hello girls,Brittany Cavallaro,1800.25
hells corner,David Baldacci,945.25
henry james,James Henry Jr.,1187.5
her,Pierre Alex Jeanty,1646.25
her ii,Pierre Alex Jeanty,1705.25
her last breath: the new gripping summer page-turner,tracy buchanan,945.25
here in the real world,Sara Pennypacker,850.25
heretic : why islam needs a reformation now,Ayaan Hirsi Ali,2992.5
hermitage,Aamer Hussein,760.0
hero at large,Janet Evanovich,522.5
heroes of olympus 4 the house of hades,Rick Riordan,1040.25
hidden (quick reads 2014) [paperback],Howard Hughes,280.25
hidden depths,Ann Cleeves,1165.5
hidden heart: an anthology,Nora Roberts,675.75
hidden order,Brad Thor,660.25
hidden planet: an illustrator's love letter to planet earth,Ben Rothery,1325.25
hidden riches,Nora Roberts,1472.5
hidden river,Adrian Mckinty,250.75
hiding places,Erin Healy,1705.25
high fidelity,Nick Hornby,945.25
hinterland,Caroline Brothers,807.5
hippie,Paulo Coelho,636.0
hold me closer: the tiny cooper story,David Levithan,850.25
hold tight,Harlan Coben,617.5
hold your breath,B P Walter,895.5
holiday in the hamptons,Sarah Morgan,845.75
holy ignorance: when religion and culture part ways,Olivier Roy,1950.75
home,Manju Kapur,660.25
home fire,Kamila Shamsie,945.25
home fire: winner of the women's,Kamila Shamsie,945.25
home front: a novel,Kristin Hannah,1420.25
home remedies,Xuan Juliana Wang,1165.5
homecoming,Bernhard Schlink,660.25
homeport,Nora Roberts,1040.25
homers odyssey,Howard Hughes,617.5
homevintage international,Toni Morrison,997.5
honor among thieves book three of the ancient blades trilogy,David Chandler,565.25
honour,Elif Shafak,971.25
honour among thieves,Jeffrey Archer,902.5
honour elif shafak,Elif Shafak,1040.25
honour thyself,Danielle Steel,660.25
hooray for fish,Lucy Cousins,755.25
hope a memoir of survival,Howard Hughes,807.5
hope never dies,Andrew Shaffer,755.25
hope: a tragedy,Shalom Auslander,878.75
hopeless,Colleen Hoover,1420.25
hopes and prospects,Noam Chomsky,1135.25
horns movie tie-in edition: a novel,joe hill,617.5
horrid henry: midsummer madness,Francesca Simon,945.25
host,Robin Cook,945.25
hot milk,Deborah Levy,845.75
hot rocks,Nora Roberts,660.25
hotel on the corner of bitter and sweet,Jamie Ford,1230.25
hotel vendome,Danielle Steel,660.25
hotel vendome: a novel,Danielle Steel,660.25
hotshot,Julie Garwood,850.25
hound of the baskervilles hardcover,Sir Arthur Conan Doyle,807.5
house of earth and blood,Sarah J. Maas,1800.25
house of leaves,Mark Z. Danielewski,1895.25
house of reckoning,John Saul,565.25
house on endless waters,Emuna Elon,1885.5
house on fire,Joseph Finder,1135.25
house secrets joe demarco thrillers paperback,Mike Lawson,660.25
housewife in trouble,Alison Penton Harper,660.25
how do you like me now,Holly Bourne,1230.25
how i became a farmer’s wife,Yashodhara Lal,470.25
how much of these hills is gold,C Pam Zhang,1795.5
how not to be wrong: the hidden maths of everyday life,,1487.5
how smart are you? test your iq (know yourself),Thomas J. Craughwell,1040.25
how the elephants lost their wings (first reading level 2),NILL,382.5
how the french won waterloo or think they did,Stephen Clarke,556.0
how the marquis got his coar back,,297.5
how to be both,Ali Smith,722.5
how to be famous,Caitlin Moran,1757.5
how to be happy,Eva Woods,1230.25
how to break a heart,Kiera Stewart,807.5
how to break up with fast fashion,Lauren Bravo,1795.0
how to fall in love,Cecelia Ahern,1567.5
how to fight islami terror from the missionary position,Tabish Khair,1610.25
how to fight islamist terror from the missionary position,Tabish Khair,1705.25
how to get filthy rich in rising asia,Mohsin Hamid,755.25
how to keep a secret: dive into the brand new feel-good read from bestseller sarah morgan.,,675.75
how to lead smart people,Mike Mister,2275.25
how to lose weight and alienate people,,760.75
how to measure a cow,Margaret Forster,1040.25
how to stop time,Matt Haig,1135.25
how to talk so little kids will listen,Julie Faber,0.0
how to woo a reluctant lady,Sabrina Jeffries,660.25
how will capitalism end?: essays on a failing system,Wolfgang Streeck,2205.75
hullabaloo in the guava orchard,Kiran Desai,807.5
humans are underrated: what high achievers know that brilliant machines never will,,1695.75
humsafar,Zohra Manzoor Illahi,1140.0
huncack of notre dame,Michael Busselle,470.25
hunger: a memoir of (my) body,Roxane Gay,1185.75
hunter killer,Mark McCurley,1135.25
hunters moon,David Devadas,498.75
hunting prince dracula,Kerri Maniscalco,1515.25
hystopia,david means,1377.5
i am a chechen,German Sadulaev,945.25
i am death,Chris Carter,755.25
i am my brand: how to build your brand without apology,Kubi Springer,2370.25
i am no one,Patrick Flanery,1567.5
i am pilgrim,Terry Hayes,1040.25
i can read 50th anniversary box set (i can read level 1),Various,1015.75
i don t know how she does it,Allison Pearson,565.25
i dont know how she does it movie tiein edition,Allison Pearson,850.25
i found you,Lisa Jewell,1610.25
i have got your number,Sophie Kinsella,1040.25
i hear the sirens in the street,Adrian Mckinty,1852.5
i heart christmas,Lindsey Kelk,807.5
i heart paris,Lindsey Kelk,755.25
i heart vegas,,675.75
i hid my voice,Parinoush Saniee,755.25
i knew youd be lovely,Alethea Black,1092.5
i know you know who i am: stories,Peter Kispert,1895.25
i nearly died laughing the darkly comic world of tony husband by tony husband art and artists book,Tony Husband,660.25
i never said i loved you: the sunday times bestseller,Rhik Samadder,1325.25
i owe you one,Sophie Kinsella,1705.25
i saw a man,Owen Sheers,1325.25
i see you,Clare Mackintosh,1420.25
i survived,Victoria Cilliers,1165.5
i think i love you,Allison Pearson,755.25
i want to be in a scary story,Sean Taylor,636.0
i was here,Gayle Forman,722.5
i wrote this for you,Iain S Thomas,2042.5
i wrote this for you and only you,Iain S Thomas,1662.5
i'd die for you: and other lost stories,Scott Fitzgerald,902.5
"i'm ok, you're ok",Thomas A. Harris,1040.25
i'm the king of the castle,Susan Hill,985.5
ice cold: a novel,Tess Gerritsen,565.25
ice station,Matthew Reilly,660.25
icecandy man,Bapsi Sidhwa,565.25
icon,Frederick Forsyth,660.25
identity,Milan Kundera,755.25
idris : keeper of the light,Naim Qassem,875.0
if cats disappeared from the world,Genki Kawamura,1036.0
if i die today,Shashi Deshpande,641.25
if i forget you,T. C. Greene,1282.5
if only i could tell you,Hannah Beckerman,1135.25
if you could go anywhere,Paige Toon,945.25
if you could see me now,Cecelia Ahern,1135.25
if you want to make god laugh,Bianca Marais,1895.25
illicit,Palit,308.75
im losing you,Bruce Wagner,1420.25
imagines: celebrity encounters starring you,Anna Todd,755.25
imagining virginia woolf: an experiment in critical biography,Maria DiBattista,2275.25
immortality,Milan Kundera,1135.25
imperial life in the emerald city: inside iraq's green zone,Rajiv Chandrasekaran,760.75
impervious,A.J. Hartley,1255.5
impossible causes,Julie Mayhew,2085.25
in a cult of their own,Amborish Roychoudhury,476.0
in a free state,V.s. Naipaul,1255.5
in a strange room,Damon Galgut,878.75
in arcadia,Ben Okri,285.0
in dreams & winter rose,Nora Roberts,1040.25
in high places,Arthur Hailey,470.25
in his father's footsteps,Danielle Steel,755.25
in my house,Alex Hourston,1230.25
in office hours air exp,Lu Ferry,660.25
in our mad and furious city,Guy Gunaratne,1255.5
in paris with you,Clementine Beauvais,1135.25
in praise of shadows,Junichiro Tanizaki,1255.5
in pursuit of infidelity,Sujata Massey,213.75
in search of us,Ava Dellaira,945.25
in the city by the sea,Kamila Shamsie,1135.25
in the company of strangers,Awais Khan,850.25
in the midst of winter,Isabel Allende,1092.5
in the name of honour,Richard North Patterson,565.25
in the night room:,Peter Straub,375.25
in the orchard the swallows,Peter Hobbs,470.25
in the skin of a lion: picador classic,Michael Ondaatje,755.25
in the unlikely event,Judy Blume,1472.5
in the unlikely event random house large print,Judy Blume,2370.25
in their footsteps: in their footsteps / stolen,Tess Gerritsen,850.25
in xanadu: a quest,William Dalrymple,1230.25
inca gold,Clive Cussler,660.25
independence,Charlotte Bronte,535.5
india in greece,E. Pococke,755.25
indian memsahib,Suchita Malik,427.5
indian summer,marcia willett,902.5
indigation,Philip Roth,427.5
indulgence in death,J. D. Robb,945.25
infernal devices,Philip Reeve,675.75
inferno,Jack Zipes,565.25
infidelity,Tara Palmer Tomkinson,712.5
"infiltrator, the (tie-in)",Howard Hughes,722.5
infinite jest,David Foster Wallace,1377.5
innocent blood blood gospel book ii,James Rollins,660.25
innocent erendira & other stories,Gabriel Garcia Marquez,945.25
innovative india,Radhika Chadha,590.75
insane city,Dave Barry,2275.25
inside the middle east making sense of the most dangerous and complicated region on earth,Avi melamed,2655.25
inside the obriens,Lisa Genova,1705.25
inspector singh investigates 2: inspector singh investigates: bali conspiracy most foul: a bali conspiracy most foul,Shamini Flint,660.25
instructions for a funeral,david means,1255.5
instructions for a second hand heart,Tamsyn Murray,755.25
insurgent cd (divergent series),Veronica Roth,1950.75
insurgent film tie - in edition,Veronica Roth,755.25
interpretations: miss lonelyhearts,Nathanael West,251.75
interpretations: the chronicles of narnia,C S Lewis,280.25
intervention,Robin Cook,660.25
interview with the vampire: number 1 in series vampire chronicles,Anne Rice,1040.25
into the dark,Alison Gaylin,427.5
into the tangled bank,Lev Parikian,2245.5
into the water,Paula Hawkins,1325.25
into the water (pb),Paula Hawkins,1185.75
invasion,Robin Cook,593.75
invisible man,Ralph Ellison,1135.25
invisible planets,Ken Liu,2370.25
invisible stanley,Jeff Brown,565.25
invisible threads,Lucy Beresford,565.25
invisible ties,Nadya A.R,470.25
invisible ties -,Nadya A.R,1420.25
irish hearts: irish thoroughbred and irish rose,Nora Roberts,850.25
"iron and rust (throne of the caesars, book 1)",Harry Sidebottom,755.25
iron gold:red rising series 4,Pierce Brown,1100.75
islam in kashmir: a study of prominent sufis and rishis,Prof. Hamid Naseem,1425.0
islamic art and the museum: approaches to art and archeology of the muslim world in the twenty-first century,,2800.75
island of secrets,Patricia Wilson,945.25
isn't she lovely,Lauren Layne,565.25
it ends with us,Colleen Hoover,1325.25
it had to be you,Anuj Tiwari,280.25
it only happens in the movies,Holly Bourne,1135.25
it's never too late: stories of people who changed the world in later life,Michael Whitehall,1990.25
it’s not right…but it’s okay,Anuj Tiwari,375.25
jack and jill,Lucy Cavendish,237.5
jack is back in corporate carnival,P. G. Bhaskar,308.75
jack reacher one shot,Lee Child,755.25
jackdaws,Ken Foliett,1255.5
jailbird,Kurt Vonnegut,1165.5
james joycethe essential works in one sitting,Joelle Herr,565.25
jamrachs menagerie,Carol Birch,807.5
jane austen on love and romance,,420.75
jane austen volume 1: pride and prejudice mansfield park and persuasion -,Jane Austen,1282.5
jane austen volume 2 sense and sensibility emma and northanger abbey,Jane Austen,1282.5
jane eyre collins,Charlotte Bronte,375.25
jane slayre,Charlotte Bronte,1230.25
jasmine nights,Katie Agnew,755.25
jeeves and the wedding bells,Sebastian Faulks,427.5
jeff brown's flat stanley: the epic canadian expedition- ( pb ),Josh Greenhut,590.75
jeff in venice death in varanasi,Geoff Dyer,850.25
jellybird,Lezanne Clannachan,1230.25
jemima small versus the universe,Tamsin Winter,1040.25
jerusalem to rome,Allen Quine,3325.5
jesus' son stories,Denis Johnson,1610.25
jfk,Jhangir Kerawala,403.75
jill the reckless everyman wodehouse,P.G.Woodhouse,1515.25
jinnah often came to our house,Kiran Doshi,1135.25
jinnistan- scary stories to tell over chai,Ayesha Muzaffar,755.25
jog on: how running saved my life,Bella Mackie,1135.25
john aubrey: my own life,Ruth Scurr,3130.25
john crows devil,Marlon James,945.25
john diamond,Leon Garfield,895.5
jokes for the gunmen,Mazen Maarouf,1135.25
jonathan livingston seagull a story,Richard Bach,617.5
jonathan strange and mr norrell,Susanna Clarke,1135.25
jonathan unleashed,Meg Rosoff,1040.25
journey to the centre of the earth,Jules Verne,375.25
journey to the centre of the earth (bantam classics) [mass market paperback],Jules Verne,280.25
julius caesar,Philip Weller,280.25
jump back in the saddle,Jilly Cooper,560.5
jurassic park a novel,Michael Crichton,1092.5
jurassic world,Egmont Publishing UK,845.75
just mercy (film tie-in edition): a story of justice and redemption,Bryan Stevenson,1255.5
just rewards,Barbara Taylor Bradford,1135.25
just so stories,Mark Twain,641.25
justine,Lawrence Durrell,1255.5
kabuko the djinn,Hamraz Ahsan,660.25
kaleidoscope / family album,Danielle Steel,1040.25
kane and abel (kane and abel series),Jeffrey Archer,1135.25
karachi you are killing me,Saba Imtiaz,660.25
karakaram ka taj mehal,Nimra Ahmed,380.0
kari,Amruta Patil,1705.25
kartography,Kamila Shamsie,11352.5
kashmir: behind the vale,M.J. Akbar,420.75
keep 'er lit,Van Morrison,1885.5
keep me safe: a slow burn novel (slow burn novels),Maya Banks,590.75
keep your friends close,Paula Daly,945.25
keeper of the bride: keeper of the bride / whistleblower,Tess Gerritsen,850.25
keeping faith,Jodi Picoult,660.25
kidnapped,Robert Louis Stevenson,332.5
kill the messenger (movie tie-in edition),Nick Schou,1325.25
killer ambition: a rachel knight novel,Marcia Clark,755.25
killer move,,565.25
killer queens,Rebecca Chance,1040.25
killing commendatore,Haruki Murakami,1466.5
kinder than solitude,Yiyun Li,945.25
kindled lives,Sangeeta Shah,332.5
king & maxwell,David Baldacci,755.25
king and maxwell,David Baldacci,1610.25
king of ashes: book one of the firemane saga,Raymond E Fiest,850.25
king of kings,Wilbur Smith,945.25
king of spies: the dark reign of america's spymaster in korea,Blaine Harden,1040.25
king zeno,Nathaniel Rich,1325.25
kingdom of souls,Rena Barron,1515.25
kingdom of strangers,Zoe Ferraris,755.25
kingdomtide,Rye Curtis,1515.25
kingmaker winter pilgrims kingmaker 1,Toby Clements,902.5
kings of the yukon: an alaskan river journey,Adam Weymouth,1135.25
kiss the dead,Laurell K. Hamilton,285.0
kiss the girls,James Patterson,522.5
kitchen curse: stories,Eka Kurniawan,1345.5
klara and the sun,Kazuo Ishiguro,1795.5
knife of dreams,Robert Jordan,1040.25
knots and crosses,Ian Rankin,945.25
kulyat dale carnegie,Dale Carnegie,1280.0
kuraj,Silvia Di Natale,1325.25
kushiels dart,Jacqueline Carey,807.5
l is for lawless kinsey millhone mysteries,Sue Grafton,755.25
ladivine,,1567.5
lady of the shades,Darren Shan,1325.25
lady rights a wrong (manor cat mystery),Eliza Casey,1895.25
lady susan the watsons sanditon,Jane Austen,660.25
ladybird tales of adventurous girls: with an introduction from jacqueline wilson,Ladybird,1596.0
lakeshore christmas,,760.75
language,Xiaolu Guo,335.75
language of flowers,Vanessa Diffenbaugh,660.25
lankas princess,kavita kane,565.25
lanny,Max porter,1135.25
lara the runaway cat,Dion Leonard,945.25
lark - winner of the 2020 carnegie medal (the truth of things),Anthony McGowan,1395.0
las marner,George Eliot,332.5
last impressions,Joseph Kertes,2180.25
last juror,John Grisham,590.75
last man in tower,Aravinda Adiga,617.5
last night at chateau marmont,Lauren Weisberger,755.25
last orders picador 40th anniversary edition picador 40th anniversary editn,Graham Swift,850.25
"last stand: george bird grinnell, the battle to save the buffalo, and the birth of the new west -",Michael Punke,755.25
last witnesses,Svetlana Alexievich,1345.5
laura lamonts life in pictures,Emma Straub,1306.25
lauren weisberger untitled pb,,845.75
law and peace,Tim Kevan,1282.5
lawrence,Bounty,1187.5
lead inside the box,Victor Prince,375.25
leadership and the one minute manager,Ken Blanchard,552.5
leaf storm: and other stories perennial classics,Gabriel Garcia Marquez,945.25
left for dead,Lewis Goodall,1230.25
legacy,Danielle Steel,878.75
legendary: a caraval novel,Stephanie Garber,1800.25
legends of pensam,Mamang dai,565.25
legion,Brandon Sanderson,945.25
legion and the emperors soul,Brandon Sanderson,997.5
leo the african,Amin Maalouf,1040.25
leonardo the terrible monster,,590.75
less: winner of the pulitzer prize for fiction 2018,Andrew Sean Greer,1135.25
lessons learned,Nora Roberts,755.25
let it snow,John Green,850.25
let it snow three holiday romances,John Green,902.5
let me be frank with you a frank bascombe book english,Richard Ford,755.25
let the old dead make room for the young dead: faber stories,,505.75
let's do multiplication and division 6-7,Andrew Brodie,470.25
let's do multiplication and division 7-8,Andrew Brodie,420.75
lethal white: cormoran strike book 4,Robert Galbraith,1185.75
lethan zero,Bret Easton Ellis,1187.5
lets explore diabetes with owls,David Sedaris,945.25
letters from an indian summer,Siddharth Dasgupta,565.25
letters to the lost,Iona Grey,2180.25
licence reedjames bond 1,John Gardner,617.5
lie down with lions,Ken Follett,1165.5
life after life,Kate Atkinson,850.25
life class,Pat Barker,985.5
life for sale,Yukio Mishima,1255.5
life of pi,Yann Martel,807.5
life of pi movie tiein,Yann Martel,755.25
life or death,Michael Robotham,945.25
life over two beers and other stories,Sanjeev Sanyal,470.25
lifelines: new writing from bangladesh,Farah Ghuznavi,660.25
lifted by the great nothing,Karim Dimechkie,1610.25
light as a feather,David Cameron,807.5
light before day,Christopher Rice,498.75
lights out in wonderland,Dbc Pierre,617.5
like,Ali Smith,1040.25
like a diamond in the sky,Shazia Omar,420.75
like a harm a novel in voies,Karin Slaughter,783.75
like smoke,Paro Anand,427.5
lila,Marilynne Robinson,1040.25
lilac girls,Martha Hall Kelly,945.25
limitations,Scott Turow,285.0
lincoln in the bardo,George Saunders,1230.25
line by line: how to edit your own writing,Claire Kehrwald Cook,1325.25
lionel asbo: state of england,Martin Amis,945.25
literary love: great writers on love and romance,Isobel Carlson,850.25
little big love,Katy Regan,1135.25
little boy,Lawrence Ferlinghetti,1325.25
little darlings,Melanie Golding,1135.25
little faith,Nickolas Butler,1230.25
little fires everywhere,Celeste Ng,1230.25
little girl gone a thrilling twisty psychological thriller,Alexandra Burt,660.25
little women (amazonclassics edition),Louisa May Alcott,123.5
little women: the sisterhood,Louisa May Alcott,1135.25
live by night,Dennis Lehane,807.5
live wire,Harlan Coben,1325.25
live wire myron bolitar 10,Harlan Ellison,850.25
"living a jewish life: jewish traditions, customs, and values for today's families",,1270.75
living to tell the tale vintage international,Gabriel Garcia Marquez,1230.25
london,Charles Dickens,535.5
london fields -,Martin Amis,1040.25
long lost,Harlan Coben,660.25
long night of storm: stories,Indra Bahadur Rai,565.25
longbourn,Jo Baker,755.25
look whos back,Timur Vermes,850.25
looking for alaska,John Green,845.75
lord of misrule,Jaimy Gordon,617.5
lord of wicked intentions,Lorraine Heath,660.25
losing my religion,,335.75
losing my virginity and other dumb ideas,Madhuri Banerjee,308.75
loss,David Harsent,1885.5
lost and found,Danielle Steel,945.25
lost children archive: winner of the rathbones folio prize 2020,Valeria Luiselli,1135.25
lost lights of st kilda,Elisabeth Gifford,1615.5
lost memory of skin,Russell Banks,1135.25
lost property,Laura Beatty,1295.0
lost witness,,590.75
love,Angela Carter,660.25
love + hate,Hanif Kureishi,1515.25
love after love,Ingrid Persaud,1895.25
love among the chickens,P.G.Woodhouse,1515.25
love and loss,Renee Hollis,1615.5
love and louis xiv: the women in the life of the sun king,,760.75
love and other thought experiments,Sophie Ward,1165.5
love anthony,Lisa Genova,1187.5
love for imperfect things,Haemin Sunim,1230.25
love from paris,Alexandra Potter,1135.25
love her wild: poetry,Atticus Poetry,1325.25
love in the kingdom of oil,Nawal El Saadawi,1420.25
love in the time of cholera,Gabriel Garcia Marquez,660.25
love is a dog from hell,Charles Bukowski,1695.75
love is the higher law,David Levithan,807.5
love life & all that jazz,Ahmed Faiyaz,332.5
love marriage,V V Ganeshananthan,522.5
love medicine: newly revised edition ps,Louise Erdrich,1092.5
love over scotland: a 44 scotland street novel,Alexander Mccall Smith,285.0
love verb the air exp,Jane Green,660.25
love without end,Melvyn Bragg,1165.5
love you more detective dd warren novels,Lisa Gardner,660.25
"love, hate & other filters",Samira Ahmed,945.25
"love, longing and death",Amar Jaleel,332.5
loveless,Alice Oseman,945.25
lovers like you and i,Minakshi Thakur,565.25
lovers rock,Rave Bedi,755.25
low,Jeet Thayil,1885.5
lowboy,,510.0
loyalties,Delphine De Vigan,895.5
lullabies (volume 2) (lang leav),Lang Leav,2465.25
lullaby,Leïla Slimani,796.0
lustrum,Robert Harris,565.25
lyrebird,Cecelia Ahern,660.25
lyrics alley,Leila Aboulela,1325.25
m is for malice kinsey millhone mass market,Tana Amen,755.25
machines like me,Ian McEwan,1075.5
mad girl,,850.25
madame badobedah,Sophie Dahl,1525.75
madame bovary,Gustave Flaubert,470.25
made for you pb,Melissa Marr,760.75
madensky square (pan heritage classics),Eva Ibbotson,945.25
magic,Danielle Steel,1515.25
maigret and monsieur charles,Georges Simenon,985.5
mainda sain,Tehmina Durrani,1420.25
"majmua shafiq ur rehman: kirnay, shagofey, lahrey, maddojaza",Shafiq-Ur-Rehman,1530.0
major pettigrews last stand,Helen Simonson,1135.25
make me jack reacher,Lee Child,1515.25
make my wish come true,katie prices,850.25
making money (discworld novels),Terry Pratchett,590.75
"malory towers collection 3 - books 7-9, enid blyton",Enid Blyton,945.25
"malory towers collection 4 - books 10-12, enid blyton",Enid Blyton,945.25
man on fire,Stephen Kelman,1610.25
man tiger a novel,Eka Kurniawan,1895.25
man v nature: shortlisted for the guardian first book award 2015,Diane Cook,945.25
mandrake,Paul Eddy,285.0
manhattan in reverse,Peter F Hamilton,755.25
manifesta: young women feminism and the future [10th anniversary edition],Jennifer Baumgardner,688.75
manuscript found in accra,Paulo Coelho,850.25
margot & me,Juno Dawson,945.25
mariette in ecstasy,Ron Hansen,190.0
mark twain,Bounty,1187.5
marriage on madison avenue,Lauren Layne,1255.5
married but available,Abhijit Bhaduri,375.25
married with zombies,Jesse Petersen,1040.25
mary ann in autumn,Armistead Maupin,565.25
mascot,Antony John,755.25
maskerade: discworld: the witches collection,Terry Pratchett,930.75
masooma,Ismat Chughtai,565.25
master of his fate,Barbara Taylor,945.25
master of the world,Edward Willett,945.25
matter of blood (dog faced gods trilogy 1),Sarah Pinborough,701.25
maximum ride forever: (maximum ride 9) paperback,James Patterson,565.25
maximum ride nevermore,James Patterson,660.25
may we be forgiven,A. M. Homes,945.25
maya,Jostein Gaarder,945.25
mayas revenge,Deepika Ahlawat,565.25
maybe not,Colleen Hoover,755.25
maybe one day,Debbie Johnson,1075.5
maybe someday,Colleen Hoover,2275.25
mb16 my name is lucy barton,Elizabeth Strout,1377.5
mb16 serious sweet,,1895.25
mb16 the schooldays of jesus,J M Coetzee,2275.25
mba whole life,,850.25
me and you,Claudia Carroll,1230.25
me before you,Jojo Moyes,805.5
me mia multiple,Debashish Irengbam,470.25
meat market,Juno Dawson,1040.25
meaty,Samantha Irby,1165.5
meer : a novel english,Humra Quraishi,565.25
meerkat mail,Emily Gravett,675.75
meet me at beachcomber bay: the feel-good bestseller you have to read this summer,Jill Mansell,675.75
meet me at the cupcake cafe,Jenny Colgan,902.5
meet me in the bathroom: rebirth and rock and roll in new york city 2001-2011,,1185.75
melmoth,Sarah Perry,1325.25
melody of a tear,Haroon Khalid Akhtar,850.25
memoirs and misinformation: a novel,Jim Carrey,2695.5
memoirs of a geisha,,675.75
"memories of fire [hardcover] [jan 01, 2018] random house",Ashok Chopra,956.0
memory of water: a novel,,1185.75
men and dogs,Katie Crouch,997.5
